target_drugs,uniprot_id,Organism
DB00001,P00734,"Homo sapiens (Human)"
DB00002,P00533,"Homo sapiens (Human)"
DB00002,O75015,"Homo sapiens (Human)"
DB00002,P00736,"Homo sapiens (Human)"
DB00002,P02745,"Homo sapiens (Human)"
DB00002,P02746,"Homo sapiens (Human)"
DB00002,P02747,"Homo sapiens (Human)"
DB00002,P08637,"Homo sapiens (Human)"
DB00002,P09871,"Homo sapiens (Human)"
DB00002,P12314,"Homo sapiens (Human)"
DB00002,P12318,"Homo sapiens (Human)"
DB00002,P31994,"Homo sapiens (Human)"
DB00002,P31995,"Homo sapiens (Human)"
DB00004,P01589,"Homo sapiens (Human)"
DB00004,P14784,"Homo sapiens (Human)"
DB00004,P31785,"Homo sapiens (Human)"
DB00005,P01375,"Homo sapiens (Human)"
DB00005,P20333,"Homo sapiens (Human)"
DB00005,P12314,"Homo sapiens (Human)"
DB00005,P08637,"Homo sapiens (Human)"
DB00005,P12318,"Homo sapiens (Human)"
DB00005,P31994,"Homo sapiens (Human)"
DB00005,P31995,"Homo sapiens (Human)"
DB00005,P01374,"Homo sapiens (Human)"
DB00005,O75015,"Homo sapiens (Human)"
DB00005,P09871,"Homo sapiens (Human)"
DB00005,P00736,"Homo sapiens (Human)"
DB00005,P02745,"Homo sapiens (Human)"
DB00005,P02746,"Homo sapiens (Human)"
DB00005,P02747,"Homo sapiens (Human)"
DB00006,P00734,"Homo sapiens (Human)"
DB00007,P30968,"Homo sapiens (Human)"
DB00008,P48551,"Homo sapiens (Human)"
DB00008,P17181,"Homo sapiens (Human)"
DB00009,P00747,"Homo sapiens (Human)"
DB00009,P02671,"Homo sapiens (Human)"
DB00009,Q03405,"Homo sapiens (Human)"
DB00009,P05121,"Homo sapiens (Human)"
DB00010,Q02643,"Homo sapiens (Human)"
DB00011,P48551,"Homo sapiens (Human)"
DB00011,P17181,"Homo sapiens (Human)"
DB00012,P19235,"Homo sapiens (Human)"
DB00013,P00747,"Homo sapiens (Human)"
DB00013,Q03405,"Homo sapiens (Human)"
DB00013,P00749,"Homo sapiens (Human)"
DB00013,P00750,"Homo sapiens (Human)"
DB00013,P05121,"Homo sapiens (Human)"
DB00013,P05120,"Homo sapiens (Human)"
DB00013,P05154,"Homo sapiens (Human)"
DB00013,P98164,"Homo sapiens (Human)"
DB00013,Q9Y5Y6,"Homo sapiens (Human)"
DB00013,P14543,"Homo sapiens (Human)"
DB00014,P22888,"Homo sapiens (Human)"
DB00014,P30968,"Homo sapiens (Human)"
DB00015,P00747,"Homo sapiens (Human)"
DB00015,P02671,"Homo sapiens (Human)"
DB00015,Q03405,"Homo sapiens (Human)"
DB00015,P05121,"Homo sapiens (Human)"
DB00016,P19235,"Homo sapiens (Human)"
DB00017,P30988,"Homo sapiens (Human)"
DB00018,P17181,"Homo sapiens (Human)"
DB00018,P48551,"Homo sapiens (Human)"
DB00019,Q99062,"Homo sapiens (Human)"
DB00019,P08246,"Homo sapiens (Human)"
DB00020,P15509,"Homo sapiens (Human)"
DB00020,P26951,"Homo sapiens (Human)"
DB00020,P32927,"Homo sapiens (Human)"
DB00020,P34741,"Homo sapiens (Human)"
DB00020,P13727,"Homo sapiens (Human)"
DB00021,P47872,"Homo sapiens (Human)"
DB00022,P17181,"Homo sapiens (Human)"
DB00022,P48551,"Homo sapiens (Human)"
DB00024,P16473,"Homo sapiens (Human)"
DB00025,P00742,"Homo sapiens (Human)"
DB00025,P00740,"Homo sapiens (Human)"
DB00025,P04275,"Homo sapiens (Human)"
DB00025,O14832,"Homo sapiens (Human)"
DB00025,P07307,"Homo sapiens (Human)"
DB00025,P11021,"Homo sapiens (Human)"
DB00025,P27797,"Homo sapiens (Human)"
DB00025,P27824,"Homo sapiens (Human)"
DB00025,P49257,"Homo sapiens (Human)"
DB00025,Q07954,"Homo sapiens (Human)"
DB00025,Q8NI22,"Homo sapiens (Human)"
DB00026,P14778,"Homo sapiens (Human)"
DB00028,P12314,"Homo sapiens (Human)"
DB00028,Q92637,"Homo sapiens (Human)"
DB00028,P12318,"Homo sapiens (Human)"
DB00028,P31994,"Homo sapiens (Human)"
DB00028,P31995,"Homo sapiens (Human)"
DB00028,P08637,"Homo sapiens (Human)"
DB00028,O75015,"Homo sapiens (Human)"
DB00028,P01024,"Homo sapiens (Human)"
DB00028,P0C0L4,"Homo sapiens (Human)"
DB00028,P0C0L5,"Homo sapiens (Human)"
DB00028,P01031,"Homo sapiens (Human)"
DB00029,P00747,"Homo sapiens (Human)"
DB00029,P02671,"Homo sapiens (Human)"
DB00029,Q03405,"Homo sapiens (Human)"
DB00029,P05121,"Homo sapiens (Human)"
DB00030,P06213,"Homo sapiens (Human)"
DB00030,P08069,"Homo sapiens (Human)"
DB00030,P06400,"Homo sapiens (Human)"
DB00030,P07339,"Homo sapiens (Human)"
DB00030,P14735,"Homo sapiens (Human)"
DB00030,P16519,"Homo sapiens (Human)"
DB00030,P16870,"Homo sapiens (Human)"
DB00030,P29120,"Homo sapiens (Human)"
DB00030,P48745,"Homo sapiens (Human)"
DB00030,P98164,"Homo sapiens (Human)"
DB00030,Q16270,"Homo sapiens (Human)"
DB00030,Q96C24,"Homo sapiens (Human)"
DB00031,P00747,"Homo sapiens (Human)"
DB00031,P02671,"Homo sapiens (Human)"
DB00031,Q03405,"Homo sapiens (Human)"
DB00031,P05121,"Homo sapiens (Human)"
DB00031,P05120,"Homo sapiens (Human)"
DB00031,P05452,"Homo sapiens (Human)"
DB00031,P05787,"Homo sapiens (Human)"
DB00031,P07355,"Homo sapiens (Human)"
DB00031,P27797,"Homo sapiens (Human)"
DB00031,P27824,"Homo sapiens (Human)"
DB00031,Q07954,"Homo sapiens (Human)"
DB00032,P23945,"Homo sapiens (Human)"
DB00032,P22888,"Homo sapiens (Human)"
DB00033,P15260,"Homo sapiens (Human)"
DB00033,P38484,"Homo sapiens (Human)"
DB00034,P17181,"Homo sapiens (Human)"
DB00034,P48551,"Homo sapiens (Human)"
DB00035,P30518,"Homo sapiens (Human)"
DB00035,P37288,"Homo sapiens (Human)"
DB00035,P47901,"Homo sapiens (Human)"
DB00036,P00742,"Homo sapiens (Human)"
