ensemble_id,uniprot_id
ENSG00000162572,P51172
ENSG00000189409,O75900
ENSG00000187730,O14764
ENSG00000067606,Q05513
ENSG00000131686,P23280
ENSG00000049239,O95479
ENSG00000171608,O00329
ENSG00000173614,Q9HAN9
ENSG00000142657,P52209
ENSG00000009724,O00187
ENSG00000198793,P42345
ENSG00000177000,P42898
ENSG00000120937,P16860
ENSG00000083444,Q02809
ENSG00000120949,P28908
ENSG00000028137,P20333
ENSG00000162496,O75911
ENSG00000142615,P08217
ENSG00000186510,P51800
ENSG00000142627,P29317
ENSG00000117118,P21912
ENSG00000117115,Q9Y2J8
ENSG00000142623,Q9ULC6
ENSG00000142619,Q9ULW8
ENSG00000159339,Q9UM07
ENSG00000179002,Q8TE23
ENSG00000159423,P30038
ENSG00000127481,Q5T4S7
ENSG00000158748,P50406
ENSG00000188784,Q9NZK7
ENSG00000188257,P14555
ENSG00000117215,Q9UNK4
ENSG00000158825,P32320
ENSG00000117298,P42892
ENSG00000142798,P98160
ENSG00000070831,P60953
ENSG00000173372,P02745
ENSG00000159189,P02747
ENSG00000173369,P02746
ENSG00000133216,P29323
ENSG00000179546,P28221
ENSG00000142676,P62913
ENSG00000117308,Q14376
ENSG00000117305,P35914
ENSG00000188822,P34972
ENSG00000169442,P31358
ENSG00000117676,Q15418
ENSG00000090020,P19634
ENSG00000116329,P41143
ENSG00000121764,O43613
ENSG00000182866,P06239
ENSG00000116478,Q13547
ENSG00000134684,P54577
ENSG00000004455,P54819
ENSG00000142920,Q96A70
ENSG00000126067,P49721
ENSG00000054116,O43617
ENSG00000119535,Q99062
ENSG00000163873,Q13003
ENSG00000204084,P32019
ENSG00000168653,O43920
ENSG00000198754,Q9BYC2
ENSG00000131238,P50897
ENSG00000117013,P56696
ENSG00000171793,P17812
ENSG00000010803,Q96GD3
ENSG00000171960,O43447
ENSG00000117385,Q32P28
ENSG00000117400,P40238
ENSG00000117411,O60909
ENSG00000196517,P48067
ENSG00000142945,Q99661
ENSG00000126088,P06132
ENSG00000132763,Q9Y4U1
ENSG00000117448,P14550
ENSG00000117461,Q92569
ENSG00000173660,P07919
ENSG00000117480,O00519
ENSG00000187048,Q02928
ENSG00000162368,P30085
ENSG00000117862,O95881
ENSG00000116157,Q96SL4
ENSG00000162383,O00341
ENSG00000157184,P23786
ENSG00000162396,Q7L3T8
ENSG00000169174,Q8NBP7
ENSG00000162409,P54646
ENSG00000177606,P05412
ENSG00000079739,P36871
ENSG00000162434,P23458
ENSG00000116678,P48357
ENSG00000184588,Q07343
ENSG00000116761,P32929
ENSG00000050628,P43115
ENSG00000116791,Q08257
ENSG00000117054,P11310
ENSG00000137955,P53611
ENSG00000162613,Q96AE4
ENSG00000122420,P43088
ENSG00000142875,P22694
ENSG00000153904,O94760
ENSG00000137944,Q6YP21
ENSG00000023909,P48507
ENSG00000117525,P13726
ENSG00000188641,Q12882
ENSG00000162692,P19320
ENSG00000162694,Q9UBQ6
ENSG00000117543,Q9H2P9
ENSG00000170989,P21453
ENSG00000240038,P19961
ENSG00000243480,P04746
"ENSG00000237763,ENSG00000174876,ENSG00000187733",P04745
ENSG00000031698,P49591
ENSG00000143106,P28066
ENSG00000168765,Q03013
ENSG00000213366,P28161
ENSG00000134184,P09488
ENSG00000134201,P46439
ENSG00000134202,P21266
ENSG00000116396,Q03721
ENSG00000168679,O15374
ENSG00000143105,Q16322
ENSG00000177301,P16389
ENSG00000177272,P22001
ENSG00000171385,Q9UK17
ENSG00000155380,P53985
ENSG00000134259,P01138
ENSG00000163399,P05023
ENSG00000116824,P06729
ENSG00000116874,Q9UGM6
ENSG00000116882,Q9NYQ3
ENSG00000203859,P26439
ENSG00000203857,P14060
ENSG00000092621,O43175
ENSG00000198019,Q92637
ENSG00000131791,O43741
ENSG00000150337,P12314
ENSG00000159164,Q7L0J3
ENSG00000118298,Q9ULX7
ENSG00000117362,Q96BI3
ENSG00000143374,Q9BW92
ENSG00000163131,P25774
ENSG00000143387,P43235
ENSG00000159377,P28070
ENSG00000143450,Q9UMX2
ENSG00000163191,P31949
ENSG00000159527,Q96LB9
ENSG00000163221,P80511
ENSG00000143556,P31151
ENSG00000196154,P26447
ENSG00000196754,P29034
ENSG00000189171,Q99584
ENSG00000160678,P23297
ENSG00000169418,P16066
ENSG00000160712,P08887
ENSG00000160716,P17787
ENSG00000143603,Q9UGI6
ENSG00000173207,P61024
ENSG00000177628,P04062
ENSG00000160752,P14324
ENSG00000242252,P02818
ENSG00000163468,P49368
ENSG00000198400,P04629
ENSG00000158473,P15813
ENSG00000158477,P06126
ENSG00000179639,P12319
ENSG00000132703,P02743
ENSG00000132693,P02741
ENSG00000158716,Q9BVJ7
ENSG00000177807,P78508
ENSG00000162728,Q92806
ENSG00000026751,Q9NQ25
ENSG00000158850,O60512
ENSG00000158864,O75306
ENSG00000158869,P30273
ENSG00000143257,Q14994
ENSG00000143252,Q99643
ENSG00000143226,P12318
ENSG00000203747,P08637
ENSG00000072694,P31994
ENSG00000162747,O75015
ENSG00000118217,P18850
ENSG00000117143,Q16222
ENSG00000162733,Q16832
ENSG00000132196,P56937
ENSG00000143171,P48443
ENSG00000143198,O14880
ENSG00000143149,P49189
ENSG00000143179,Q9BZX2
ENSG00000198821,P20963
ENSG00000117479,O60779
ENSG00000198734,P12259
ENSG00000174175,P16109
ENSG00000007908,P16581
ENSG00000117592,P30041
ENSG00000117593,Q6PI48
ENSG00000117601,P01008
ENSG00000143322,P42684
ENSG00000057252,P35610
ENSG00000153029,Q95460
ENSG00000135821,P15104
ENSG00000116701,P19878
ENSG00000162704,O15511
ENSG00000073756,P35354
ENSG00000116711,P47712
ENSG00000023572,Q9NS18
ENSG00000081248,Q13698
ENSG00000143858,Q8N9I0
ENSG00000159348,Q9UHQ9
ENSG00000163485,P30542
ENSG00000133063,Q13231
ENSG00000143839,P00797
ENSG00000198049,P47901
ENSG00000162889,P49137
ENSG00000136634,P22301
ENSG00000196352,P08174
ENSG00000008118,Q96NX5
ENSG00000117594,P28845
ENSG00000117650,P51955
ENSG00000162772,P18847
ENSG00000082482,O95069
ENSG00000196482,P62508
ENSG00000136628,P07814
ENSG00000067704,Q9NSE4
ENSG00000143811,Q96C36
ENSG00000143799,P09874
ENSG00000143761,P84077
ENSG00000143774,Q16774
ENSG00000143632,P68133
ENSG00000135744,P01019
ENSG00000135766,Q9GZT9
ENSG00000135750,O00180
ENSG00000152904,O95749
ENSG00000116962,P14543
ENSG00000086619,Q86YB8
ENSG00000116984,Q99707
ENSG00000198626,Q92736
ENSG00000133019,P20309
ENSG00000035687,P30520
ENSG00000143727,P24666
ENSG00000115705,P07202
ENSG00000182551,Q9BV57
ENSG00000151694,P78536
ENSG00000171848,P31350
ENSG00000115758,P11926
ENSG00000134318,O75116
ENSG00000169006,O95665
ENSG00000240857,Q9HBH5
ENSG00000143878,P62745
ENSG00000084676,Q15788
ENSG00000115138,P01189
ENSG00000084754,P40939
ENSG00000171303,O14649
ENSG00000138074,Q9Y289
ENSG00000084774,P27708
ENSG00000171094,Q9UM73
ENSG00000158125,P47989
ENSG00000115828,Q16769
ENSG00000138061,Q16678
ENSG00000183023,P32418
ENSG00000138079,Q07837
ENSG00000171132,Q02156
ENSG00000180398,Q8NI22
ENSG00000119888,P16422
ENSG00000138039,P22888
ENSG00000170820,P23945
ENSG00000170634,P14621
ENSG00000115306,Q01082
ENSG00000014641,P40925
ENSG00000115902,P43007
ENSG00000138071,P61160
ENSG00000221823,P63098
ENSG00000124357,Q9UJ70
ENSG00000116096,P35270
ENSG00000065911,P13995
ENSG00000115350,Q9NR33
ENSG00000115353,P25103
ENSG00000115386,P05451
ENSG00000163541,P53597
ENSG00000042445,Q6NUM9
ENSG00000168906,P31153
ENSG00000115486,P38435
ENSG00000115523,P22749
ENSG00000115525,Q9UNP4
ENSG00000153574,P49247
ENSG00000135940,P10606
ENSG00000115085,P43403
ENSG00000144182,Q9Y234
ENSG00000115594,P14778
ENSG00000153208,Q12866
ENSG00000115008,P01583
ENSG00000125538,P01584
ENSG00000136689,P18510
ENSG00000115091,P61158
ENSG00000155368,P07108
ENSG00000080293,P47872
ENSG00000088179,P29074
ENSG00000169967,Q9Y2U5
ENSG00000115718,P04070
ENSG00000136699,Q9NXE4
ENSG00000152086,Q6PEY2
ENSG00000115850,P09848
ENSG00000115866,P14868
ENSG00000121966,P61073
ENSG00000150540,P50135
ENSG00000115919,Q16719
ENSG00000115963,P61587
ENSG00000123610,P98066
ENSG00000162980,Q9Y689
ENSG00000182389,O00305
ENSG00000162989,P48549
ENSG00000115170,Q04771
ENSG00000007001,O95045
ENSG00000197635,P27487
ENSG00000184611,Q9NS40
ENSG00000153253,Q9NY46
ENSG00000136531,Q99250
ENSG00000144285,P35498
ENSG00000169432,Q15858
ENSG00000136546,Q01118
ENSG00000073734,O95342
ENSG00000081479,P98164
ENSG00000138398,Q13427
ENSG00000128683,Q99259
ENSG00000115840,O75746
ENSG00000152256,Q15118
ENSG00000138435,P02708
ENSG00000115966,P15336
ENSG00000128655,Q9HCR9
ENSG00000115232,P13612
ENSG00000115252,P54750
ENSG00000138448,P06756
ENSG00000003436,P10646
ENSG00000168542,P02461
ENSG00000138379,O14793
ENSG00000198130,Q6NVY1
ENSG00000115419,O94925
ENSG00000081320,O94768
ENSG00000115896,Q15111
ENSG00000138356,Q06278
ENSG00000013441,P49759
ENSG00000119013,O43676
ENSG00000138395,Q96Q40
ENSG00000163599,P16410
ENSG00000023228,P28331
ENSG00000118260,P16220
ENSG00000138413,O75874
ENSG00000144407,P49190
ENSG00000078018,P11137
ENSG00000021826,P31327
ENSG00000178568,Q15303
ENSG00000138363,P31939
ENSG00000115414,P02751
ENSG00000115425,Q9BY49
ENSG00000163464,P25024
ENSG00000163466,O15144
ENSG00000144579,Q9GZU7
ENSG00000115592,Q9UGI9
ENSG00000127824,P68366
ENSG00000123992,Q9ULA0
ENSG00000116120,Q9NSD9
ENSG00000123983,O95573
ENSG00000169047,P35568
ENSG00000135917,Q9BZV2
ENSG00000135914,P41595
ENSG00000163283,P05187
ENSG00000163286,P10696
ENSG00000135902,Q07001
ENSG00000196811,P07510
ENSG00000115488,Q9Y3R4
ENSG00000077044,Q16760
ENSG00000241119,O60656
ENSG00000144481,Q7Z2W7
ENSG00000132329,O60894
ENSG00000132330,Q96I15
ENSG00000068024,P56524
ENSG00000130414,O95299
ENSG00000130294,Q12756
ENSG00000172482,P21549
ENSG00000168393,P23919
ENSG00000188389,Q15116
ENSG00000113851,Q96SW2
ENSG00000150995,Q14643
ENSG00000196277,Q14831
ENSG00000180914,P30559
ENSG00000241553,P59998
ENSG00000132164,P48066
ENSG00000157103,P30531
ENSG00000196639,P35367
ENSG00000132170,P37231
ENSG00000132155,P04049
ENSG00000163517,Q96DB2
ENSG00000144566,P20339
ENSG00000114166,Q92831
ENSG00000174748,P61313
ENSG00000151090,P10828
ENSG00000077092,P10826
ENSG00000077097,Q02880
ENSG00000163513,P37173
ENSG00000144644,Q6ZQY3
ENSG00000187091,P51178
ENSG00000060971,P09110
ENSG00000183873,Q14524
ENSG00000185313,Q9Y5Y9
ENSG00000168356,Q9UI33
ENSG00000168028,P08865
ENSG00000168036,P35222
ENSG00000163815,P05452
ENSG00000011376,Q15031
ENSG00000173585,P51686
ENSG00000121807,P41597
ENSG00000160791,P51681
ENSG00000012223,P02788
ENSG00000160801,Q03431
ENSG00000047849,P27816
ENSG00000164047,P49913
ENSG00000114268,Q16877
ENSG00000010256,P31930
ENSG00000114302,P13861
ENSG00000178537,O43772
ENSG00000178467,Q9NXG6
ENSG00000178035,P12268
ENSG00000233276,P07203
ENSG00000067560,P61586
ENSG00000145020,P48728
ENSG00000114349,P11488
ENSG00000007402,Q9NY47
ENSG00000114738,Q16644
ENSG00000164082,Q14416
ENSG00000041880,Q9Y6F1
ENSG00000243989,Q03154
ENSG00000023330,P13196
ENSG00000239732,Q9NR96
ENSG00000114854,P63316
ENSG00000010322,Q9Y2I1
ENSG00000163932,Q05655
ENSG00000157388,Q01668
ENSG00000157445,Q8IZS8
ENSG00000168374,P18085
ENSG00000168291,P11177
ENSG00000189283,P49789
ENSG00000172340,Q96I99
ENSG00000179097,P30939
ENSG00000184500,P07225
ENSG00000178700,Q86XF0
ENSG00000081148,Q9BZV3
ENSG00000114573,P38606
ENSG00000151577,P35462
ENSG00000121578,O60513
ENSG00000121594,P33681
ENSG00000144852,O75469
ENSG00000082701,P49841
ENSG00000065518,O95168
ENSG00000163406,Q16348
ENSG00000114013,P42081
ENSG00000036828,P41180
ENSG00000173200,Q460N3
ENSG00000173175,O95622
ENSG00000114491,P11172
ENSG00000144908,O75891
ENSG00000075785,P51149
ENSG00000169704,P14770
ENSG00000181789,Q9Y678
ENSG00000163914,P08100
ENSG00000017260,P98194
ENSG00000114670,Q8NG66
ENSG00000014257,P15309
ENSG00000091513,P02787
ENSG00000114054,P05166
ENSG00000051382,P42338
ENSG00000114115,P09455
ENSG00000163864,Q96T66
ENSG00000152952,O00469
ENSG00000144891,P30556
ENSG00000153002,P15086
ENSG00000163754,P46976
ENSG00000047457,P00450
ENSG00000070087,P35080
ENSG00000169313,Q9H244
ENSG00000152580,Q6WRI0
ENSG00000198829,Q9BXA5
ENSG00000196549,P08473
ENSG00000163655,P49915
ENSG00000118849,P49788
ENSG00000090402,P14410
ENSG00000114200,P06276
ENSG00000163558,P41743
ENSG00000163581,P11168
ENSG00000075651,Q13393
ENSG00000121853,Q92847
ENSG00000197584,Q9Y691
ENSG00000121879,P42336
ENSG00000171121,Q9NPA1
ENSG00000136521,O43674
ENSG00000078070,Q96RQ3
ENSG00000186090,Q70Z44
ENSG00000178084,Q8WXA8
ENSG00000186038,A5X5Y0
ENSG00000114859,P51788
ENSG00000113790,Q08426
ENSG00000058866,P49619
ENSG00000157005,P61278
ENSG00000090530,Q8IVL5
ENSG00000061938,Q07912
ENSG00000161217,P49585
ENSG00000161267,Q02338
ENSG00000133256,P35913
ENSG00000159692,Q13363
ENSG00000090316,Q7L5Y9
ENSG00000068078,P22607
ENSG00000184160,P18825
ENSG00000163993,P25815
ENSG00000169676,P21918
ENSG00000002587,O14792
ENSG00000109743,Q10588
ENSG00000004468,P28907
ENSG00000151552,P09417
ENSG00000002549,P28838
ENSG00000109618,Q9HD40
ENSG00000163394,P32238
ENSG00000121897,O43766
ENSG00000109814,O60701
ENSG00000174343,Q9UGM1
ENSG00000124406,Q9Y2Q0
ENSG00000163285,Q8N1C3
ENSG00000151834,P47869
ENSG00000109158,P48169
ENSG00000163288,P18505
ENSG00000134853,P16234
ENSG00000157404,P10721
ENSG00000128052,P35968
ENSG00000128039,Q9H8P0
ENSG00000128059,Q06203
ENSG00000128050,P22234
ENSG00000163453,Q16270
ENSG00000109163,P30968
ENSG00000173597,O43704
ENSG00000109193,P49888
ENSG00000156136,P27707
ENSG00000163631,P02768
ENSG00000169429,P10145
ENSG00000163737,P02776
ENSG00000163736,P02775
ENSG00000169245,P02778
ENSG00000138772,P12429
ENSG00000145293,Q9UHY7
ENSG00000109339,P53779
ENSG00000198189,Q8NBQ5
ENSG00000170502,Q9BW91
ENSG00000118777,Q9UNQ0
ENSG00000152208,O43424
ENSG00000163106,O60760
ENSG00000163114,P29803
ENSG00000151247,P06730
ENSG00000164024,P53582
ENSG00000197894,P11766
ENSG00000198099,P08319
ENSG00000187758,P07327
ENSG00000196616,P00325
ENSG00000196344,P40394
ENSG00000138823,P55157
ENSG00000070190,Q9UN19
ENSG00000138814,Q08209
ENSG00000109320,P19838
ENSG00000138778,Q02224
ENSG00000169836,P29371
ENSG00000138801,O43252
ENSG00000138796,Q16836
ENSG00000138798,P01133
ENSG00000138792,Q07075
ENSG00000145349,Q13557
ENSG00000145384,P12104
ENSG00000138735,O76074
ENSG00000164111,P08758
ENSG00000145386,P20248
ENSG00000109471,P60568
ENSG00000138685,P09038
ENSG00000151012,Q9UPY5
ENSG00000109390,O43677
ENSG00000145391,Q8WTS6
ENSG00000085871,Q99735
ENSG00000153147,O60264
ENSG00000151611,Q8IVH4
ENSG00000164167,P62312
ENSG00000151617,P25101
ENSG00000151623,P08235
ENSG00000059691,O75879
ENSG00000137462,O60603
